No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"111","500104","Hindustan Petroleum Corporation Limited","974.33B","457.80","4.06%","4.30T"
"112","500850","The Indian Hotels Company Limited","973.84B","684.15","-0.83%","93.03B"
"113","532432","United Spirits Limited","957.65B","1,349.80","1.05%","126.58B"
"114","533179","Persistent Systems Limited","955.65B","6,403.10","2.12%","132.19B"
"115","540691","Aditya Birla Capital Limited","947.50B","361.70","0.84%","295.62B"
"116","544576","LG Electronics India Limited","942.54B","1,387.35","-0.38%","242.81B"
"117","540716","ICICI Lombard General Insurance Company Limited","931.52B","1,869.95","0.61%","263.62B"
"118","500103","Bharat Heavy Electricals Limited","924.66B","265.55","-0.79%","292.69B"
"119","500096","Dabur India Limited","912.65B","514.40","0.13%","127.81B"
"120","543904","Mankind Pharma Limited","898.02B","2,176.15","-3.02%","135.46B"
"121","503806","SRF Limited","896.94B","3,025.85","-0.13%","152.63B"
"122","517354","Havells India Limited","894.53B","1,424.90","-0.75%","216.67B"
"123","500093","CG Power and Industrial Solutions Limited","884.61B","561.85","-2.62%","110.69B"
"124","544285","Swiggy Limited","882.57B","340.30","-1.92%","189.25B"
"125","532321","Zydus Lifesciences Limited","873.51B","867.80","-1.83%","244.94B"
"126","532777","Info Edge (India) Limited","860.82B","1,329.40","1.76%","30.68B"
"127","533148","JSW Energy Limited","860.43B","492.30","-0.47%","159.49B"
"128","543396","One97 Communications Limited","858.84B","1,342.80","2.29%","77.18B"
"129","544390","Siemens Energy India Limited","828.69B","2,327.05","-1.56%","78.32B"
"130","544162","Bharti Hexacom Limited","807.25B","1,614.85","-1.49%","91.20B"
"131","533098","NHPC Limited","805.81B","80.30","-1.25%","112.28B"
"132","543066","SBI Cards and Payment Services Limited","798.99B","839.55","-0.83%","107.31B"
"133","544600","Lenskart Solutions Limited","782.77B","451.45","-1.31%","73.87B"
"134","544289","NTPC Green Energy Limited","778.59B","92.40","0.75%","24.20B"
"135","544252","Bajaj Housing Finance Limited","769.82B","92.41","-1.19%","36.26B"
"136","540611","AU Small Finance Bank Limited","766.39B","1,025.15","5.00%","90.57B"
"137","543390","PB Fintech Limited","750.53B","1,619.80","-1.65%","57.61B"
"138","532187","IndusInd Bank Limited","743.12B","953.20","0.91%","155.41B"
"139","532648","Yes Bank Limited","736.15B","23.46","2.22%","154.37B"
"140","533519","L&T Finance Limited","734.96B","296.30","0.19%","84.26B"
"141","544277","Waaree Energies Limited","734.12B","2,550.40","-0.36%","179.53B"
"142","533106","Oil India Limited","729.78B","448.65","-2.10%","334.91B"
"143","526371","NMDC Limited","727.70B","82.77","-1.25%","266.89B"
"144","543384","FSN E-Commerce Ventures Limited","723.55B","252.60","-0.86%","88.30B"
"145","543187","Hitachi Energy India Limited","722.70B","16,225.4","-4.32%","68.19B"
"146","539437","IDFC First Bank Limited","719.37B","83.68","0.75%","217.50B"
"147","532149","Bank of India Limited","716.50B","157.35","3.05%","308.13B"
"148","542649","Rail Vikas Nigam Limited","698.79B","335.30","-0.90%","200.26B"
"149","539523","Alkem Laboratories Limited","697.84B","5,835.20","0.11%","138.90B"
"150","500493","Bharat Forge Limited","696.74B","1,457.35","0.71%","152.69B"
"151","532388","Indian Overseas Bank","694.78B","36.10","1.83%","143.99B"
"152","532466","Oracle Financial Services Software Limited","692.78B","7,961.40","5.69%","70.73B"
