No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"115","000559","Wanxiang Qianchao Co.,Ltd.","63.85B","19.26","7.06%","13.89B"
"116","000596","Anhui Gujing Distillery Co., Ltd.","63.84B","133.98","-0.98%","20.93B"
"117","200596","Anhui Gujing Distillery Co., Ltd.","63.84B","84.81","-0.68%","20.93B"
"118","000960","Yunnan Tin Company Limited","63.55B","38.62","-4.88%","47.18B"
"119","300454","Sangfor Technologies Inc.","63.17B","152.03","-4.12%","8.01B"
"120","002648","Satellite Chemical Co.,Ltd.","62.77B","18.70","-1.48%","48.14B"
"121","001309","Shenzhen Techwinsemi Technology Co., Ltd.","61.95B","273.03","7.48%","7.83B"
"122","002281","Accelink Technologies Co,Ltd.","61.71B","76.50","-2.55%","11.43B"
"123","002555","37 Interactive Entertainment Network Technology Group Co., Ltd.","61.15B","27.80","-4.96%","16.56B"
"124","301611","Suzhou Kematek, Inc.","60.63B","139.07","3.05%","1.04B"
"125","002195","Shanghai Stonehill Technology Co., Ltd.","60.56B","10.68","-10.03%","645.05M"
"126","301200","Shenzhen Han's CNC Technology Co., Ltd.","60.52B","142.22","1.52%","4.90B"
"127","300223","Ingenic Semiconductor Co.,Ltd.","59.74B","123.80","5.43%","4.45B"
"128","002653","Haisco Pharmaceutical Group Co., Ltd.","59.70B","53.82","0.19%","4.27B"
"129","300866","Anker Innovations Limited","59.35B","110.70","5.45%","29.28B"
"130","300115","Shenzhen Everwin Precision Technology Co., Ltd.","59.23B","43.52","5.12%","18.35B"
"131","002064","Huafon Chemical Co.,Ltd","59.15B","11.92","-0.67%","24.67B"
"132","002738","Sinomine Resource Group Co., Ltd.","59.09B","81.90","-3.52%","6.61B"
"133","300979","Huali Industrial Group Company Limited","58.93B","50.50","-1.85%","25.17B"
"134","002294","Shenzhen Salubris Pharmaceuticals Co., Ltd.","58.52B","52.49","-0.68%","4.25B"
"135","300058","BlueFocus Intelligent Communications Group Co., Ltd.","58.48B","16.29","-11.52%","66.47B"
"136","000831","China Rare Earth Resources And Technology Co., Ltd.","56.34B","53.09","-0.21%","3.57B"
"137","002517","Kingnet Network Co., Ltd.","56.25B","26.33","-4.29%","5.27B"
"138","300765","CSPC Innovation Pharmaceutical Co., Ltd.","55.70B","40.00","-0.40%","2.09B"
