No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"3685","Z8M","Aktor Societe Anonyme Holding Company Technical and Energy Projects","1.99B","9.63","-1.84%","1.34B"
"3686","3RCA","RingCentral, Inc.","1.99B","25.09","-0.48%","2.12B"
"3687","RI1","BlackBerry Limited","1.99B","3.206","-1.72%","461.21M"
"3688","59K","The Chugoku Electric Power Co., Inc.","1.99B","5.40","-","8.72B"
"3689","EN2","Energa SA","1.99B","4.700","-0.21%","4.92B"
"3690","4I9","Beacon Financial Corporation","1.98B","22.60","-","271.13M"
"3691","AON","Aozora Bank, Ltd.","1.98B","13.50","0.75%","608.55M"
"3692","AON0","Aozora Bank, Ltd.","1.98B","3.140","0.64%","608.55M"
"3693","BMN","B&M European Value Retail S.A.","1.98B","1.890","-0.53%","6.51B"
"3694","BMNU","B&M European Value Retail S.A.","1.98B","7.15","-","6.51B"
"3695","8HT","Helios Towers plc","1.98B","1.890","0.96%","698.57M"
"3696","HIP","Park Hotels & Resorts Inc.","1.98B","9.80","0.51%","2.17B"
"3697","BK8N","NV Bekaert SA","1.98B","38.75","-0.64%","3.85B"
"3698","1T4","TORM plc","1.97B","19.87","-2.34%","1.10B"
"3699","OC9","Omnicell, Inc.","1.97B","43.80","1.86%","1.00B"
"3700","LWB","Mesoblast Limited","1.97B","1.710","3.01%","14.64M"
"3701","2PT","North Pacific Bank,Ltd.","1.97B","4.600","0.88%","852.75M"
"3702","KPI1","Konica Minolta, Inc.","1.96B","3.800","1.60%","6.09B"
"3703","1YE","Energean plc","1.96B","10.71","1.61%","1.07B"
"3704","FFP","Peugeot Invest Société anonyme","1.96B","77.90","0.39%","173.00M"
"3705","10H","Scandic Hotels Group AB (publ)","1.96B","8.44","-2.43%","2.01B"
"3706","41G1","Greggs plc","1.96B","19.60","5.95%","2.44B"
"3707","LO7","Lovisa Holdings Limited","1.96B","16.10","-3.01%","445.06M"
"3708","3F5","China Jinmao Holdings Group Limited","1.96B","0.139","-4.14%","7.39B"
"3709","XSE","Seino Holdings Co., Ltd.","1.95B","12.60","-","4.63B"
"3710","EVI","China Everbright Limited","1.95B","1.130","-1.74%","261.23M"
"3711","0H5","HCI Group, Inc.","1.95B","149.00","-3.25%","695.97M"
"3712","B2C","Civitas Resources, Inc.","1.95B","22.89","-0.78%","4.02B"
"3713","46P1","Paragon Banking Group PLC","1.95B","10.20","1.02%","579.36M"
"3714","4AI","China Aluminum International Engineering Corporation Limited","1.95B","0.294","0.68%","2.76B"
"3715","UP0","Ultragenyx Pharmaceutical Inc.","1.95B","20.20","-1.94%","537.46M"
"3716","AAM","Man Wah Holdings Limited","1.95B","0.490","-8.41%","1.82B"
"3717","7XP","Organon & Co.","1.95B","7.41","0.93%","5.37B"
"3718","B4F","Basic-Fit N.V.","1.95B","29.54","0.27%","1.31B"
"3719","UI2","Kemper Corporation","1.95B","32.60","0.62%","4.13B"
"3720","BBEA","The Boston Beer Company, Inc.","1.94B","177.50","-0.73%","1.69B"
"3721","6XC","Soleno Therapeutics, Inc.","1.94B","38.84","2.70%","84.10M"
"3722","7WE","SENKO Group Holdings Co., Ltd.","1.94B","11.30","1.80%","5.05B"
"3723","DPN","DIC Corporation","1.94B","19.50","-2.01%","6.04B"
"3724","0T5","Turning Point Brands, Inc.","1.94B","97.00","4.30%","371.36M"
"3725","S9Y","Silvercorp Metals Inc.","1.94B","8.73","2.29%","275.63M"
"3726","SZU","Südzucker AG","1.94B","9.50","0.42%","8.80B"
"3727","SZU1","Südzucker AG","1.94B","4.200","-0.47%","8.58B"
"3728","WFG1","West China Cement Limited","1.94B","0.344","-","1.20B"
"3729","0S7","Seven Bank, Ltd.","1.94B","1.630","-","1.20B"
"3730","3BZ","Bank of Zhengzhou Co., Ltd.","1.94B","0.122","-0.81%","687.11M"
"3731","YME","Yamada Holdings Co., Ltd.","1.94B","2.880","1.41%","9.41B"
"3732","5WD","Walker & Dunlop, Inc.","1.93B","56.00","1.82%","988.73M"
"3733","5S5","Cornish Metals plc","1.93B","1.360","4.62%","-"
"3734","GXE","Galapagos NV","1.93B","28.00","-0.64%","286.92M"
