No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"207","2607","Shanghai Pharmaceuticals Holding Co., Ltd","65.10B","11.86","-0.08%","306.77B"
"208","1364","Guming Holdings Limited","64.50B","27.12","2.34%","11.45B"
"209","1099","Sinopharm Group Co. Ltd.","64.35B","20.62","0.88%","626.85B"
"210","0135","Kunlun Energy Company Limited","64.33B","7.43","0.41%","210.02B"
"211","1385","Shanghai Fudan Microelectronics Group Company Limited","64.20B","47.92","1.10%","4.30B"
"212","9863","Zhejiang Leapmotor Technology Co., Ltd.","63.73B","44.82","-4.23%","52.12B"
"213","2577","InnoScience (Suzhou) Technology Holding Co., Ltd.","63.28B","69.20","-","1.09B"
"214","2883","China Oilfield Services Limited","63.26B","7.85","-1.88%","54.09B"
"215","0144","China Merchants Port Holdings Company Limited","63.22B","15.06","0.53%","12.50B"
"216","9995","RemeGen Co., Ltd.","62.27B","97.80","3.77%","2.43B"
"217","1071","Huadian Power International Corporation Limited","62.10B","4.110","-0.73%","112.21B"
"218","1258","China Nonferrous Mining Corporation Limited","61.18B","15.68","-0.57%","27.93B"
"219","0177","Jiangsu Expressway Company Limited","60.78B","9.32","0.65%","24.18B"
"220","2319","China Mengniu Dairy Company Limited","59.97B","15.46","0.65%","93.77B"
"221","3759","Pharmaron Beijing Co., Ltd.","59.53B","22.90","-3.94%","14.80B"
"222","2202","China Vanke Co., Ltd.","59.21B","3.500","-2.51%","311.12B"
"223","2579","CNGR Advanced Material Co., Ltd.","59.16B","38.32","1.59%","47.39B"
"224","1456","Guolian Minsheng Securities Co., Ltd.","58.83B","5.36","-1.47%","7.52B"
"225","3969","China Railway Signal & Communication Corporation Limited","58.44B","3.460","0.87%","36.51B"
"226","6198","Qingdao Port International Co., Ltd.","58.04B","7.23","0.84%","20.98B"
"227","2638","HK Electric Investments and HK Electric Investments Limited","57.88B","6.55","0.31%","12.05B"
"228","2588","BOC Aviation Limited","57.12B","82.30","0.67%","17.39B"
"229","2631","SICC Co., Ltd.","56.95B","67.70","13.50%","1.75B"
"230","3347","Hangzhou Tigermed Consulting Co., Ltd","56.32B","53.30","-0.47%","7.17B"
"231","0151","Want Want China Holdings Limited","54.88B","4.650","-1.06%","25.95B"
"232","0268","Kingdee International Software Group Company Limited","54.40B","15.13","-1.30%","7.21B"
"233","2228","XtalPi Holdings Limited","54.39B","12.64","1.36%","746.09M"
"234","3939","Wanguo Gold Group Limited","53.86B","12.17","-2.64%","2.40B"
"235","2026","Pony AI Inc.","53.65B","126.10","0.80%","749.99M"
"236","0699","Ningbo Joyson Electronic Corp.","53.34B","19.02","4.97%","66.20B"
"237","6680","JL Mag Rare-Earth Co., Ltd.","53.25B","22.62","5.21%","7.78B"
"238","2788","Chuangxin Industries Holdings Limited","52.56B","26.28","3.79%","16.14B"
"239","2331","Li Ning Company Limited","52.54B","20.40","4.35%","31.94B"
"240","3998","Bosideng International Holdings Limited","52.27B","4.520","0.44%","28.44B"
"241","3931","CALB Group Co., Ltd.","51.47B","29.04","-6.56%","40.71B"
"242","0780","Tongcheng Travel Holdings Limited","51.35B","22.24","-1.07%","20.54B"
"243","2039","China International Marine Containers (Group) Co., Ltd.","50.64B","8.75","0.11%","181.15B"
"244","1193","China Resources Gas Group Limited","50.03B","21.64","-0.73%","100.39B"
"245","6655","Huaxin Building Materials Group Co., Ltd.","48.89B","18.98","6.21%","37.74B"
"246","1359","China Cinda Asset Management Co., Ltd.","48.09B","1.260","-","26.89B"
"247","0101","Hang Lung Properties Limited","47.63B","9.42","0.97%","10.10B"
"248","1828","FWD Group Holdings Limited","47.59B","37.30","-0.53%","24.63B"
"249","0564","ZCZL Industrial Technology Group Company Limited","47.41B","21.68","0.74%","43.64B"
"250","6963","Sunshine Insurance Group Company Limited","47.27B","4.110","-1.67%","86.35B"
"251","6166","CIG Shanghai Co., Ltd.","47.24B","93.45","4.24%","4.64B"
"252","2282","MGM China Holdings Limited","47.04B","12.38","-2.52%","31.83B"
"253","9896","MINISO Group Holding Limited","46.65B","38.38","-0.57%","21.75B"
"254","3311","China State Construction International Holdings Limited","46.64B","8.83","0.11%","115.18B"
"255","2018","AAC Technologies Holdings Inc.","46.60B","39.90","0.40%","32.22B"
"256","3698","Huishang Bank Corporation Limited","45.56B","3.270","-0.30%","32.81B"
"257","0270","Guangdong Investment Limited","45.18B","6.91","0.88%","18.69B"
"258","0247","Tsim Sha Tsui Properties Limited","44.86B","20.10","-","8.76B"
"259","0598","Sinotrans Limited","44.44B","5.15","-0.58%","103.59B"
"260","3888","Kingsoft Corporation Limited","43.71B","31.68","-2.10%","10.77B"
"261","0874","Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited","43.57B","18.71","0.16%","84.74B"
"262","1318","Mao Geping Cosmetics Co., Ltd.","42.38B","86.45","0.93%","4.93B"
"263","0008","PCCW Limited","42.36B","5.49","0.37%","38.78B"
"264","6821","Asymchem Laboratories (Tianjin) Co., Ltd.","42.30B","88.15","-1.73%","6.88B"
"265","1888","Kingboard Laminates Holdings Limited","42.26B","13.48","3.14%","19.49B"
"266","0384","China Gas Holdings Limited","41.79B","7.67","0.79%","78.63B"
"267","2400","XD Inc.","41.65B","86.00","1.30%","6.44B"
"268","0576","Zhejiang Expressway Co., Ltd.","41.00B","6.79","-0.29%","21.00B"
"269","0522","ASMPT Limited","40.88B","97.85","2.68%","13.59B"
"270","1357","Meitu, Inc.","40.86B","8.91","-0.11%","3.88B"
"271","0136","China Ruyi Holdings Limited","40.32B","2.400","-0.83%","4.42B"
"272","2904","China Ruyi Holdings Limited","40.32B","1.950","-","4.42B"
"273","0392","Beijing Enterprises Holdings Limited","40.26B","32.00","-0.19%","94.53B"
"274","2380","China Power International Development Limited","39.96B","3.230","0.31%","58.87B"
"275","1133","Harbin Electric Company Limited","39.87B","18.86","5.78%","47.92B"
"276","9899","NetEase Cloud Music Inc.","39.49B","181.50","-2.21%","8.44B"
