No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"139","600879","China Aerospace Times Electronics CO., LTD.","84.66B","25.66","-4.18%","13.88B"
"140","601825","Shanghai Rural Commercial Bank Co., Ltd.","84.58B","8.77","-","23.65B"
"141","600958","Orient Securities Company Limited","84.29B","10.52","-1.31%","22.47B"
"142","688729","Beijing E-Town Semiconductor Technology Co., Ltd.","83.17B","28.14","4.84%","5.10B"
"143","688375","Guobo Electronics Co., Ltd.","81.75B","137.16","1.31%","2.35B"
"144","603268","Guangdong Songfa Ceramics Co.,Ltd.","80.79B","83.22","-4.89%","8.55B"
"145","688183","Shengyi Electronics Co., Ltd.","80.60B","97.87","1.32%","8.34B"
"146","603893","Rockchip Electronics Co., Ltd.","80.34B","192.50","0.42%","4.12B"
"147","601238","Guangzhou Automobile Group Co., Ltd.","78.85B","8.26","-1.20%","99.97B"
"148","600009","Shanghai International Airport Co., Ltd.","78.11B","31.39","-1.32%","12.89B"
"149","601916","China Zheshang Bank Co., Ltd","77.32B","2.980","-0.67%","38.07B"
"150","605117","Ningbo Deye Technology Group Co., Ltd.","77.24B","85.18","0.09%","12.04B"
"151","600703","Sanan Optoelectronics Co.,Ltd","76.86B","15.79","10.04%","18.07B"
"152","601061","CITIC Metal Co., Ltd","76.59B","15.63","-","138.60B"
"153","688126","National Silicon Industry Group Co., Ltd.","76.45B","23.13","1.98%","3.55B"
"154","688036","Shenzhen Transsion Holdings Co., Ltd.","76.21B","66.20","-1.05%","67.01B"
"155","688249","Nexchip Semiconductor Corporation","75.78B","38.95","7.98%","10.60B"
"156","600176","China Jushi Co., Ltd.","75.18B","18.78","2.46%","18.13B"
"157","603195","Goneo Group Co., Ltd.","74.87B","41.41","-0.58%","16.43B"
"158","688361","Skyverse Technology Co., Ltd.","74.23B","212.00","7.63%","1.77B"
"159","600048","Poly Developments and Holdings Group Co., Ltd.","73.92B","6.23","-2.50%","302.61B"
"160","601168","Western Mining Co.,Ltd.","73.85B","30.99","0.81%","61.74B"
"161","601231","Universal Scientific Industrial (Shanghai) Co., Ltd.","73.82B","32.50","6.31%","60.33B"
"162","600580","Wolong Electric Group Co.,Ltd.","73.72B","47.35","3.18%","16.02B"
"163","601788","Everbright Securities Company Limited","73.37B","17.33","-0.29%","11.19B"
"164","600221","Hainan Airlines Holding Co., Ltd.","73.15B","1.690","0.60%","66.94B"
"165","900945","Hainan Airlines Holding Co., Ltd.","73.15B","0.288","-0.69%","66.94B"
