No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"114","0JVQ","Lowe's Companies, Inc.","116.05B","275.77","-0.14%","64.15B"
"115","0JCT","Intuit Inc.","115.25B","537.51","-3.15%","14.80B"
"116","0MPH","Deutsche Telekom AG","114.78B","27.73","-0.62%","105.63B"
"117","0NWV","Schneider Electric S.E.","114.19B","233.78","-0.46%","33.70B"
"118","0A2S","PDD Holdings Inc.","113.93B","114.23","-13.03%","43.74B"
"119","0IU8","Safran SA","113.90B","320.50","0.38%","25.18B"
"120","0OMK","EssilorLuxottica Société anonyme","112.75B","271.00","-3.90%","23.35B"
"121","0HT4","Capital One Financial Corporation","112.51B","241.87","1.37%","21.49B"
"122","0QYQ","Gilead Sciences, Inc.","112.36B","122.50","-0.29%","21.64B"
"123","0R3T","UBS Group AG","112.17B","38.01","-0.22%","35.85B"
"124","0L8B","Southern Copper Corporation","111.93B","179.15","-2.60%","9.18B"
"125","0HFN","Analog Devices, Inc.","110.47B","303.73","-0.09%","8.39B"
"126","0Q1N","Pfizer Inc.","109.93B","25.63","-0.54%","46.82B"
"127","0L83","Sony Group Corporation","109.70B","24.13","-0.28%","66.10B"
"128","0KWZ","Rio Tinto Group","108.50B","84.92","-2.15%","39.22B"
"129","RIO","Rio Tinto Group","108.50B","6,347.00","-1.87%","39.22B"
"130","0L7L","SoftBank Group Corp.","108.03B","12.51","-2.49%","37.76B"
"131","0R15","SoftBank Group Corp.","107.70B","4,010.00","-1.01%","37.76B"
"132","RR","Rolls-Royce Holdings plc","106.46B","1,285.50","0.98%","19.54B"
"133","ULVR","Unilever PLC","105.85B","4,761.50","-0.40%","51.24B"
"134","0A30","TotalEnergies SE","105.47B","65.27","11.94%","136.54B"
"135","TTE","TotalEnergies SE","105.41B","56.80","0.18%","136.54B"
"136","0HIT","Iberdrola, S.A.","104.50B","18.25","-1.32%","39.70B"
"137","0A6W","ABB Ltd","104.47B","75.35","-0.95%","25.67B"
"138","0NX2","ABB Ltd","104.31B","61.60","0.55%","25.67B"
"139","0R2P","Deere & Company","104.27B","515.37","0.30%","34.74B"
"140","0R2S","Stryker Corporation","103.53B","363.39","0.44%","18.14B"
"141","0A2B","Banco Bilbao Vizcaya Argentaria, S.A.","103.22B","24.26","-0.51%","27.61B"
"142","BVA","Banco Bilbao Vizcaya Argentaria, S.A.","103.22B","21.30","-0.47%","27.61B"
"143","0A28","Prosus N.V.","103.19B","53.86","-0.39%","5.08B"
"144","0LAF","Sumitomo Mitsui Financial Group, Inc.","102.39B","21.24","-0.79%","17.21B"
"145","0R2E","Union Pacific Corporation","102.11B","230.94","0.69%","18.26B"
"146","0L5N","ServiceNow, Inc.","101.62B","128.57","-2.04%","9.42B"
"147","0A22","Anheuser-Busch InBev SA/NV","100.32B","68.45","-0.77%","43.60B"
"148","0RJI","Anheuser-Busch InBev SA/NV","100.32B","59.13","-0.55%","43.60B"
"149","0R3E","Lockheed Martin Corporation","99.87B","579.79","0.89%","54.70B"
"150","0HOY","Boston Scientific Corporation","99.67B","88.57","-1.97%","14.39B"
"151","0RLS","UniCredit S.p.A.","98.05B","72.27","-0.13%","21.69B"
"152","0KF5","Palo Alto Networks, Inc.","97.72B","185.97","-2.47%","7.28B"
"153","0Y3K","Eaton Corporation plc","96.73B","346.20","3.56%","19.81B"
"154","0LUS","Welltower Inc.","96.45B","190.70","0.67%","7.37B"
"155","0SEA","Siemens Energy AG","95.07B","133.75","3.96%","34.11B"
"156","0R2Y","Adobe Inc.","95.06B","297.51","-2.04%","17.96B"
"157","0Y6X","Medtronic plc","94.79B","97.59","-1.74%","26.12B"
"158","0A76","British American Tobacco p.l.c.","94.21B","57.87","-0.63%","25.60B"
"159","BATS","British American Tobacco p.l.c.","94.21B","4,326.00","-0.30%","25.60B"
"160","0HO8","Blackstone Inc.","94.00B","141.62","1.86%","9.52B"
"161","0R28","Newmont Corporation","92.85B","114.10","-0.61%","16.00B"
"162","0KOD","Prologis, Inc.","92.09B","133.54","0.68%","6.77B"
"163","0QZA","ConocoPhillips","91.30B","98.25","-1.39%","45.59B"
"164","0HKY","BYD Company Limited","90.72B","12.58","-2.25%","87.89B"
"165","0VSO","BYD Company Limited","90.72B","35.61","218.90%","87.89B"
"166","0HBC","Intesa Sanpaolo S.p.A.","90.49B","5.93","-1.24%","22.10B"
"167","0KOC","The Progressive Corporation","89.13B","202.50","-1.44%","63.36B"
"168","0KFZ","Parker-Hannifin Corporation","89.02B","942.75","-0.36%","14.90B"
"169","0VQD","Chubb Limited","88.50B","300.99","-0.12%","43.77B"
"170","0NPL","Christian Dior SE","88.50B","565.25","-4.36%","70.99B"
"171","0QMU","Compagnie Financière Richemont SA","88.31B","162.73","-7.12%","19.15B"
"172","0Z1W","KKR & Co. Inc.","87.42B","132.08","0.16%","16.55B"
"173","0A2V","Sanofi","86.12B","46.75","-1.55%","40.09B"
"174","0O59","Sanofi","86.12B","81.71","1.50%","40.09B"
"175","0NC5","Investor AB (publ)","86.11B","345.95","0.20%","10.52B"
"176","0NC6","Investor AB (publ)","86.11B","189.28","-45.43%","10.52B"
"177","0R1F","Bristol-Myers Squibb Company","86.08B","55.85","-1.16%","35.73B"
"178","0A3N","CrowdStrike Holdings, Inc.","85.66B","446.99","-3.65%","3.48B"
"179","0A6Q","AIA Group Limited","83.94B","42.40","-2.53%","18.61B"
"180","0A7M","ICICI Bank Limited","83.55B","30.96","0.49%","15.99B"
